play_id,penaltySeverity,penaltyMinutes
2018020036_39,Minor,2
2018020036_93,Minor,2
2018020036_152,Minor,2
2018020036_176,Minor,2
2018020036_186,Minor,2
2018020036_197,Minor,2
2018020036_234,Minor,2
2018020036_253,Minor,2
2018020036_261,Minor,2
2018020036_315,Minor,2
2018020037_21,Minor,2
2018020037_105,Bench Minor,2
2018020037_127,Minor,2
2018020037_137,Minor,2
2018020037_138,Minor,2
2018020037_152,Minor,2
2018020037_220,Minor,2
2018020037_339,Minor,2
2018020038_11,Minor,2
2018020038_53,Minor,2
2018020038_56,Minor,2
2018020038_77,Minor,2
2018020038_126,Minor,2
2018020038_148,Minor,2
2018020038_158,Minor,2
2018020038_197,Minor,2
2018020038_259,Minor,2
2018020038_270,Minor,2
2018020039_11,Minor,2
2018020039_67,Minor,2
2018020039_117,Bench Minor,2
2018020039_144,Minor,2
2018020039_145,Minor,2
2018020039_198,Minor,2
2018020039_236,Minor,2
2018020039_259,Minor,2
2018020040_77,Minor,2
2018020040_142,Minor,2
2018020040_156,Minor,2
2018020040_252,Minor,2
2018020040_296,Minor,2
2018020041_164,Minor,2
2018020041_172,Minor,2
2018020041_187,Minor,2
2018020041_194,Minor,2
2018020036_32,Minor,2
2018020036_39,Minor,2
2018020036_93,Minor,2
2018020036_152,Minor,2
2018020036_176,Minor,2
2018020036_186,Minor,2
2018020036_197,Minor,2
2018020036_234,Minor,2
2018020036_253,Minor,2
2018020036_261,Minor,2
2018020036_315,Minor,2
2018020037_21,Minor,2
2018020037_105,Bench Minor,2
2018020037_127,Minor,2
2018020037_137,Minor,2
2018020037_138,Minor,2
2018020037_152,Minor,2
2018020037_220,Minor,2
2018020037_339,Minor,2
2018020038_11,Minor,2
2018020038_53,Minor,2
2018020038_56,Minor,2
2018020038_77,Minor,2
2018020038_126,Minor,2
2018020038_148,Minor,2
2018020038_158,Minor,2
2018020038_197,Minor,2
2018020038_259,Minor,2
2018020038_270,Minor,2
2018020039_11,Minor,2
2018020039_67,Minor,2
2018020039_117,Bench Minor,2
2018020039_144,Minor,2
2018020039_145,Minor,2
2018020039_198,Minor,2
2018020039_236,Minor,2
2018020039_259,Minor,2
2018020040_77,Minor,2
2018020040_142,Minor,2
2018020040_156,Minor,2
2018020040_252,Minor,2
2018020040_296,Minor,2
2018020041_164,Minor,2
2018020041_172,Minor,2
2018020041_187,Minor,2
2018020041_194,Minor,2
2018020042_12,Minor,2
2018020042_26,Minor,2
2018020042_42,Minor,2
2018020042_55,Minor,2
2018020042_84,Minor,2
