game_id,player_id,team_id,timeOnIce,assists,goals,pim,shots,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShotsAgainst,evenShotsAgainst,powerPlayShotsAgainst,decision,savePercentage,powerPlaySavePercentage,evenStrengthSavePercentage
2018020036,8477180,28,3598,0,0,0,33,31,7,0,24,0,24,9,W,93.9393939393939,77.7777777777778,100.0
2018020036,8470880,4,3585,0,0,0,48,40,7,2,31,3,36,9,L,83.3333333333333,77.7777777777778,86.1111111111111
2018020037,8474593,23,3565,0,0,0,33,28,1,3,24,3,29,1,L,84.8484848484848,100.0,82.7586206896552
2018020037,8470147,12,3600,0,0,0,25,22,3,1,18,1,19,5,W,88.0,60.0,94.7368421052632
2018020038,8475831,21,3543,0,0,0,34,30,7,1,22,1,25,8,L,88.2352941176471,87.5,88.0
2018020038,8475683,29,3591,0,0,0,27,25,5,2,18,2,19,6,W,92.5925925925926,83.3333333333333,94.7368421052632
2018020039,8469608,20,3600,0,0,0,43,43,9,0,34,0,34,9,W,100.0,100.0,100.0
2018020039,8471469,18,3600,0,0,0,27,24,5,0,19,0,20,7,L,88.8888888888889,71.4285714285714,95.0
2018020040,8475789,26,3501,0,0,0,39,37,8,0,29,0,30,9,L,94.8717948717949,88.8888888888889,96.6666666666667
2018020040,8476945,52,3600,0,0,0,17,16,4,1,11,1,12,4,W,94.1176470588235,100.0,91.6666666666667
2018020041,8475883,10,3600,0,0,0,34,30,0,0,30,0,33,1,W,88.2352941176471,0.0,90.9090909090909
2018020041,8471750,25,3554,1,0,0,29,23,1,0,22,0,26,3,L,79.3103448275862,33.3333333333333,84.6153846153846
2018020042,8475717,4,3573,0,0,0,35,31,10,1,20,1,21,13,W,88.5714285714286,76.9230769230769,95.2380952380952
2018020042,8467950,9,3516,0,0,0,44,38,18,4,16,4,20,20,L,86.3636363636364,90.0,80.0
2018020043,8470594,54,3587,0,0,0,28,24,3,1,20,1,22,5,L,85.7142857142857,60.0,90.9090909090909
2018020043,8474651,15,3600,0,0,0,31,29,4,1,24,1,26,4,W,93.5483870967742,100.0,92.3076923076923
2018020044,8477293,53,3881,0,0,0,25,23,2,0,21,0,23,2,W,92.0,100.0,91.304347826087
2018020044,8476434,24,3900,0,0,0,39,37,6,1,30,2,30,7,L,94.8717948717949,85.7142857142857,100.0
2018020042,8475717,4,3573,0,0,0,35,31,10,1,20,1,21,13,W,88.5714285714286,76.9230769230769,95.2380952380952
2018020042,8467950,9,3516,0,0,0,44,38,18,4,16,4,20,20,L,86.3636363636364,90.0,80.0
2018020043,8470594,54,3587,0,0,0,28,24,3,1,20,1,22,5,L,85.7142857142857,60.0,90.9090909090909
2018020043,8474651,15,3600,0,0,0,31,29,4,1,24,1,26,4,W,93.5483870967742,100.0,92.3076923076923
2018020044,8477293,53,3881,0,0,0,25,23,2,0,21,0,23,2,W,92.0,100.0,91.304347826087
2018020044,8476434,24,3900,0,0,0,39,37,6,1,30,2,30,7,L,94.8717948717949,85.7142857142857,100.0
2018020045,8475660,22,3496,0,0,0,31,28,2,0,26,0,27,4,L,90.3225806451613,50.0,96.2962962962963
2018020045,8470860,6,3600,0,0,0,26,25,5,2,18,2,19,5,W,96.1538461538462,100.0,94.7368421052632
2018020046,8473575,21,3593,0,0,0,31,30,13,0,17,0,18,13,W,96.7741935483871,100.0,94.4444444444444
2018020046,8475622,7,3600,0,0,2,30,24,5,2,17,2,21,7,L,80.0,71.4285714285714,80.9523809523809
2018020047,8476914,29,3600,0,0,0,41,37,3,0,34,0,38,3,W,90.2439024390244,100.0,89.4736842105263
2018020047,8473503,13,3496,0,0,0,32,27,5,0,22,0,25,7,L,84.375,71.4285714285714,88.0
2018020048,8477831,15,3585,0,0,0,36,30,1,1,28,1,33,2,L,83.3333333333333,50.0,84.8484848484848
2018020048,8476234,1,3596,0,0,0,21,21,2,1,18,1,18,2,W,100.0,100.0,100.0
2018020049,8477180,28,3631,0,0,0,27,24,1,2,21,2,24,1,L,88.8888888888889,100.0,87.5
2018020049,8468685,3,3637,0,0,0,43,41,4,3,34,4,35,4,W,95.3488372093023,100.0,97.1428571428571
2018020050,8476876,54,3533,0,0,0,22,18,0,0,18,0,22,0,L,81.8181818181818,,81.8181818181818
2018020050,8479193,5,3600,0,0,0,37,35,4,0,31,0,33,4,W,94.5945945945946,100.0,93.9393939393939
2018020051,8475789,26,3600,0,0,0,40,40,4,3,33,3,33,4,W,100.0,100.0,100.0
2018020051,8471679,8,3584,0,0,0,29,26,2,1,23,1,26,2,L,89.6551724137931,100.0,88.4615384615385
2018020052,8475883,10,3592,0,0,0,29,26,3,1,22,1,25,3,W,89.6551724137931,100.0,88.0
2018020052,8470657,17,3517,0,0,0,34,30,5,4,21,4,23,7,L,88.2352941176471,71.4285714285714,91.304347826087
2018020053,8475195,23,3600,0,0,0,34,33,7,0,26,0,27,7,W,97.0588235294118,100.0,96.2962962962963
2018020053,8476883,14,3486,0,0,0,26,24,9,1,14,1,16,9,L,92.3076923076923,100.0,87.5
2018020054,8469608,20,2400,0,0,0,24,19,3,2,14,2,17,5,L,79.1666666666667,60.0,82.3529411764706
2018020054,8479496,20,1042,0,0,0,8,8,2,0,6,0,6,2,,100.0,100.0,100.0
2018020054,8474596,19,3600,0,0,0,34,31,5,1,25,1,28,5,W,91.1764705882353,100.0,89.2857142857143
2018020055,8476945,52,3586,0,0,0,30,27,11,0,16,0,19,11,L,90.0,100.0,84.2105263157895
2018020055,8471469,18,3599,0,0,0,29,29,5,3,21,3,21,5,W,100.0,100.0,100.0
2018020056,8470320,16,3805,0,0,0,46,42,1,1,40,2,43,1,L,91.304347826087,100.0,93.0232558139535
2018020056,8471227,30,3774,0,0,0,30,27,5,1,21,1,23,6,W,90.0,83.3333333333333,91.304347826087
2018020045,8475660,22,3496,0,0,0,31,28,2,0,26,0,27,4,L,90.3225806451613,50.0,96.2962962962963
2018020045,8470860,6,3600,0,0,0,26,25,5,2,18,2,19,5,W,96.1538461538462,100.0,94.7368421052632
2018020046,8473575,21,3593,0,0,0,31,30,13,0,17,0,18,13,W,96.7741935483871,100.0,94.4444444444444
2018020046,8475622,7,3600,0,0,2,30,24,5,2,17,2,21,7,L,80.0,71.4285714285714,80.9523809523809
2018020047,8476914,29,3600,0,0,0,41,37,3,0,34,0,38,3,W,90.2439024390244,100.0,89.4736842105263
2018020047,8473503,13,3496,0,0,0,32,27,5,0,22,0,25,7,L,84.375,71.4285714285714,88.0
2018020048,8477831,15,3585,0,0,0,36,30,1,1,28,1,33,2,L,83.3333333333333,50.0,84.8484848484848
2018020048,8476234,1,3596,0,0,0,21,21,2,1,18,1,18,2,W,100.0,100.0,100.0
2018020049,8477180,28,3631,0,0,0,27,24,1,2,21,2,24,1,L,88.8888888888889,100.0,87.5
2018020049,8468685,3,3637,0,0,0,43,41,4,3,34,4,35,4,W,95.3488372093023,100.0,97.1428571428571
2018020050,8476876,54,3533,0,0,0,22,18,0,0,18,0,22,0,L,81.8181818181818,,81.8181818181818
2018020050,8479193,5,3600,0,0,0,37,35,4,0,31,0,33,4,W,94.5945945945946,100.0,93.9393939393939
2018020051,8475789,26,3600,0,0,0,40,40,4,3,33,3,33,4,W,100.0,100.0,100.0
2018020051,8471679,8,3584,0,0,0,29,26,2,1,23,1,26,2,L,89.6551724137931,100.0,88.4615384615385
2018020052,8475883,10,3592,0,0,0,29,26,3,1,22,1,25,3,W,89.6551724137931,100.0,88.0
2018020052,8470657,17,3517,0,0,0,34,30,5,4,21,4,23,7,L,88.2352941176471,71.4285714285714,91.304347826087
2018020053,8475195,23,3600,0,0,0,34,33,7,0,26,0,27,7,W,97.0588235294118,100.0,96.2962962962963
2018020053,8476883,14,3486,0,0,0,26,24,9,1,14,1,16,9,L,92.3076923076923,100.0,87.5
2018020054,8469608,20,2400,0,0,0,24,19,3,2,14,2,17,5,L,79.1666666666667,60.0,82.3529411764706
2018020054,8479496,20,1042,0,0,0,8,8,2,0,6,0,6,2,,100.0,100.0,100.0
2018020054,8474596,19,3600,0,0,0,34,31,5,1,25,1,28,5,W,91.1764705882353,100.0,89.2857142857143
2018020055,8476945,52,3586,0,0,0,30,27,11,0,16,0,19,11,L,90.0,100.0,84.2105263157895
2018020055,8471469,18,3599,0,0,0,29,29,5,3,21,3,21,5,W,100.0,100.0,100.0
2018020056,8470320,16,3805,0,0,0,46,42,1,1,40,2,43,1,L,91.304347826087,100.0,93.0232558139535
2018020056,8471227,30,3774,0,0,0,30,27,5,1,21,1,23,6,W,90.0,83.3333333333333,91.304347826087
2018020057,8475660,22,3595,0,0,0,24,23,3,0,20,0,21,3,W,95.8333333333333,100.0,95.2380952380952
2018020057,8468685,3,3530,0,0,0,27,25,2,0,23,0,24,3,L,92.5925925925926,66.6666666666667,95.8333333333333
2018020058,8470594,54,3600,0,0,0,26,26,2,1,23,1,23,2,W,100.0,100.0,100.0
2018020058,8470880,4,3508,0,0,0,21,20,4,0,16,0,17,4,L,95.2380952380952,100.0,94.1176470588235
2018020059,8475789,26,1801,0,0,0,11,7,1,1,5,1,8,2,L,63.6363636363636,50.0,62.5
2018020059,8469514,26,1799,0,0,0,11,10,0,0,10,0,11,0,,90.9090909090909,,90.9090909090909
2018020059,8467950,9,3546,0,0,0,37,36,9,0,27,0,28,9,W,97.2972972972973,100.0,96.4285714285714
2018020061,8473541,17,3600,0,0,0,39,31,2,0,29,0,36,3,L,79.4871794871795,66.6666666666667,80.5555555555556
2018020061,8471695,6,3600,0,0,0,34,32,6,2,24,3,24,7,W,94.1176470588235,85.7142857142857,100.0
