play_id,strength,gameWinningGoal,emptyNet
2018020019_336,Even,False,
2018020019_340,Even,False,
2018020021_22,Even,False,False
2018020021_63,Even,False,False
2018020021_85,Even,False,False
2018020021_114,Even,False,False
2018020021_162,Even,False,False
2018020021_177,Even,True,False
2018020021_188,Power Play,False,False
2018020022_55,Even,False,False
2018020022_71,Even,True,False
2018020022_116,Even,False,False
2018020022_164,Short Handed,False,False
2018020022_176,Even,False,False
2018020022_263,Even,False,False
2018020024_66,Power Play,False,False
2018020024_78,Even,False,False
2018020024_83,Even,False,False
2018020024_101,Even,False,False
2018020024_141,Even,False,False
2018020024_213,Power Play,False,False
2018020024_216,Even,False,False
2018020024_238,Even,False,False
2018020024_305,Even,True,False
2018020025_45,Even,False,False
2018020025_308,Even,False,False
2018020025_351,Even,True,
2018020027_199,Even,True,False
2018020026_11,Even,False,False
2018020026_51,Even,False,False
2018020026_81,Even,False,False
2018020026_130,Even,False,False
2018020026_147,Even,True,False
2018020026_297,Power Play,False,False
2018020026_307,Even,False,True
2018020028_7,Even,False,False
2018020028_79,Even,False,False
2018020028_99,Short Handed,False,False
2018020028_104,Even,False,False
2018020028_142,Power Play,False,False
2018020028_180,Power Play,False,False
2018020028_226,Power Play,False,False
2018020028_273,Power Play,False,False
2018020028_302,Power Play,True,False
2018020028_323,Even,False,True
2018020028_331,Short Handed,False,True
2018020029_13,Even,False,False
2018020029_42,Even,False,False
2018020029_70,Even,False,False
2018020029_102,Even,False,False
2018020029_155,Even,False,False
2018020029_194,Even,False,False
2018020029_207,Power Play,False,False
2018020029_255,Even,False,False
2018020029_275,Even,False,False
2018020029_280,Even,False,False
2018020029_306,Even,True,False
2018020029_314,Even,False,False
2018020029_362,Power Play,False,True
2018020030_58,Even,False,False
2018020030_71,Even,False,False
2018020030_80,Even,False,False
2018020030_88,Even,False,False
2018020030_147,Even,False,False
2018020030_158,Even,False,False
2018020030_173,Power Play,False,False
2018020030_231,Even,False,False
2018020030_259,Even,False,False
2018020030_312,Even,False,False
2018020030_315,Even,False,False
2018020030_318,Even,False,False
2018020030_329,Even,True,False
2018020031_146,Even,False,False
2018020031_178,Power Play,False,False
2018020031_226,Even,False,False
2018020031_300,Even,True,False
2018020031_329,Power Play,False,False
2018020031_347,Even,False,True
2018020029_13,Even,False,False
2018020029_42,Even,False,False
2018020029_70,Even,False,False
2018020029_102,Even,False,False
2018020029_155,Even,False,False
2018020029_194,Even,False,False
2018020029_207,Power Play,False,False
2018020029_255,Even,False,False
2018020029_275,Even,False,False
2018020029_280,Even,False,False
2018020029_306,Even,True,False
2018020029_314,Even,False,False
2018020029_362,Power Play,False,True
2018020030_58,Even,False,False
2018020030_71,Even,False,False
2018020030_80,Even,False,False
2018020030_88,Even,False,False
2018020030_147,Even,False,False
2018020030_158,Even,False,False
2018020030_173,Power Play,False,False
2018020030_231,Even,False,False
2018020030_259,Even,False,False
2018020030_312,Even,False,False
2018020030_315,Even,False,False
2018020030_318,Even,False,False
2018020030_329,Even,True,False
2018020031_146,Even,False,False
2018020031_178,Power Play,False,False
2018020031_226,Even,False,False
2018020031_300,Even,True,False
2018020031_329,Power Play,False,False
2018020031_347,Even,False,True
2018020032_8,Even,False,False
2018020032_102,Power Play,False,False
2018020032_124,Even,False,False
2018020032_144,Even,False,False
2018020032_179,Even,False,False
2018020032_240,Even,True,False
2018020032_283,Even,False,False
2018020032_286,Even,False,False
2018020032_293,Even,False,True
2018020033_179,Power Play,True,False
2018020033_231,Even,False,False
2018020033_265,Even,False,False
2018020033_298,Short Handed,False,True
2018020034_81,Power Play,False,False
2018020034_121,Even,False,False
2018020034_130,Even,False,False
2018020034_135,Even,True,False
2018020034_140,Even,False,False
2018020034_223,Even,False,False
2018020035_70,Even,False,False
2018020035_173,Even,False,False
2018020035_201,Even,False,False
2018020035_273,Even,False,False
2018020035_354,Even,False,
2018020032_8,Even,False,False
2018020032_102,Power Play,False,False
2018020032_124,Even,False,False
2018020032_144,Even,False,False
2018020032_179,Even,False,False
2018020032_240,Even,True,False
2018020032_283,Even,False,False
2018020032_286,Even,False,False
2018020032_293,Even,False,True
2018020033_179,Power Play,True,False
2018020033_231,Even,False,False
2018020033_265,Even,False,False
2018020033_298,Short Handed,False,True
2018020034_81,Power Play,False,False
2018020034_121,Even,False,False
2018020034_130,Even,False,False
2018020034_135,Even,True,False
2018020034_140,Even,False,False
2018020034_223,Even,False,False
2018020035_70,Even,False,False
